Titel;Locatie;Uren;Duur;Link
Adviseur Informatiehuishouding, 16 u p/w;Leeuwarden;16 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/adviseur-informatiehuishouding-16-u-p-w/
Accountmanager (Randstad);Alphen a/d Rijn;32-40 u p/w;;https://www.bluetrail.nl/opdrachten/Intern/accountmanager-randstad/
Programmamedewerker Organisatieontwikkeling;Den Haag;32 u p/w;15 maanden;https://www.bluetrail.nl/opdrachten/Interim/programmamedewerker-organisatieontwikkeling/
Project Management Officer – PMO;Nederland;32-40 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Detachering/project-management-officer-pmo-2/
Project Management Officer – PMO;Nederland;;;https://www.bluetrail.nl/opdrachten/Detachering/project-management-officer-pmo/
Assistent Projectmanager;Amsterdam;24-32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/assistent-projectmanager/
Manager IPM Projectbeheersing;Hoofddorp;24-32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/manager-ipm-projectbeheersing/
Adviseur Ecologie;Utrecht en thuiswerken;32 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/adviseur-ecologie/
Expert Soortenmonitoring;Utrecht en thuiswerken;16-32 u p/w;6 maanden;https://www.bluetrail.nl/opdrachten/Interim/expert-soortenmonitoring/
Beheereconoom;Utrecht;32-36 u p/w;10 maanden;https://www.bluetrail.nl/opdrachten/Interim/beheereconoom/
Projectleider Aanbesteding Arbodienstverlening;Utrecht;12 - 16 u p/w;10 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-aanbesteding-arbodienstverlening/
Projectleider Huisvesting Statushouders en Ontheemden/Vluchtelingen;Kampen;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-huisvesting-statushouders-en-ontheemden-vluchtelingen/
Service Designer (visualiseren informatie);Utrecht;32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/service-designer-visualiseren-informatie/
Communicatie Adviseur;Tholen;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/communicatie-adviseur/
Projectleider Pandemische Paraatheid;Enschede;32 u p/w;4 maanden;https://www.bluetrail.nl/opdrachten/Interim/projectleider-pandemische-paraatheid/
Beheerder / Assetmanager fysieke domein gemeente Leiden;Leiden;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/beheerder-assetmanager-fysieke-domein-gemeente-leiden/
Programma Ondersteuner Strategische Huisvesting;Amsterdam;36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/programma-ondersteuner-strategische-huisvesting/
Financieel Adviseur Zoeterwoude;Leiden;24 - 32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/financieel-adviseur-zoeterwoude/
Financieel Adviseur gemeente Leiden;Leiden;24 - 32 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/financieel-adviseur-gemeente-leiden/
Senior Directievoerder Grond/Weg/Waterbouw;Utrecht;24 - 36 u p/w;12 maanden;https://www.bluetrail.nl/opdrachten/Interim/senior-directievoerder-grond-weg-waterbouw/
Beleidsmedewerker 3 fte;Apeldoorn;36 u p/w;;https://www.bluetrail.nl/opdrachten/Interim/beleidsmedewerker-3-fte/
